,price
1196,1538.9440768789316
1197,1379.4039320069376
1198,1442.1934162120651
1199,1371.0414144046715
1200,1371.0414144046715
1201,1371.0414144046715
1202,1357.9891767422846
1203,1357.9891767422846
1204,1211.4505797647498
1205,1211.4505797647498
1206,1338.2569108809714
1207,1457.713584519705
1208,1457.713584519705
1209,1457.713584519705
1210,1490.4236021645472
1211,1490.4236021645472
1212,1494.2729944300906
1213,1527.0291947752933
1214,1499.7784436779334
1215,1402.1457652008853
1216,1488.5368942362745
1217,1576.4158260072522
1218,1576.4158260072522
1219,1576.4158260072522
1220,1618.2792130746786
1221,1618.2792130746786
1222,1562.7835847039194
1223,1562.7835847039194
1224,1582.6365346930168
1225,1660.7750570445855
1226,1660.7750570445855
1227,1786.5178131847051
1228,1871.82589062448
1229,1884.2267948274705
1230,1957.095645693594
1231,1825.7628651955163
1232,1811.4157781326721
1233,1806.0034405953809
1234,1684.979625448483
1235,1684.979625448483
1236,1678.3767297650934
1237,1759.6881540042855
1238,1802.3950439847629
1239,1833.733291786892
1240,1833.733291786892
1241,1840.8047536468964
1242,1761.4529360668378
1243,1761.4529360668378
1244,1546.8970232177371
1245,1579.8773367405847
1246,1579.8773367405847
1247,1607.169297977521
1248,1546.0958449039663
1249,1559.0451701403863
1250,1505.8783641276339
1251,1459.340698576243
1252,1459.340698576243
1253,1477.0138517429841
1254,1533.8227066262025
1255,1563.9698308467753
1256,1487.0171789383146
1257,1405.0531710040939
1258,1444.9230981223636
1259,1444.9230981223636
1260,1304.672505195954
1261,1304.672505195954
1262,1335.5307990796075
1263,1341.3848323803152
1264,1377.101006949325
1265,1377.101006949325
1266,1377.101006949325
1267,1386.4291960805124
1268,1323.7153307761598
1269,1240.1221466633865
1270,1186.0774689623215
1271,1186.0774689623215
1272,1046.7427919503662
1273,1099.1240062211734
1274,1041.2760107582035
1275,1041.2760107582035
1276,916.3208070171206
1277,916.3208070171206
1278,916.3208070171206
1279,881.150729282162
1280,848.2950560935425
1281,827.6539807974887
1282,820.0339734271339
1283,786.8663852355178
1284,786.8663852355178
1285,786.8663852355178
1286,895.4294583828671
1287,953.7409262138104
1288,899.5188186398273
1289,899.5188186398273
1290,899.5188186398273
1291,960.7476250315673
1292,953.0233334916792
1293,964.0830732465326
1294,964.0830732465326
1295,936.8538667846068
1296,963.0719775710704
1297,944.4152446506172
1298,1004.8023200915904
1299,948.9123374523448
1300,948.9123374523448
1301,948.9123374523448
1302,746.330436487778
1303,743.8717946492668
